payment_id,order_id,method,status,amount,paid_at,transaction_ref,customer_id,channel_id,store_id,order_date,billing_address_id,shipping_address_id,status_order,currency_code,subtotal,tax_amount,shipping_fee,total_amount,address_id,province_id,date_id,paid_at_id
7000000000,1000000000,CARD,PAID,63636.0,2024-11-27 00:50:47,TX-1HW3GM7Q6LFJ,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,1595,1,20241126,20241127
7000000001,1000000001,GATEWAY,PENDING,78146.4,,,601,1,,2024-01-31 01:00:04,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,3534,1,20240131,
7000000002,1000000002,CARD,PAID,32064.6,2025-02-28 07:39:44,TX-8PBOWVHD7B4I,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,4063,1,20250226,20250228
7000000003,1000000003,CARD,PAID,30855.0,2025-03-02 15:35:36,TX-SQ97NPWQ6YK8,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,1507,1,20250301,20250302
7000000004,1000000004,CARD,PAID,53451.75,2024-04-01 01:46:36,TX-F7761XS1CXDC,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,4,4,20240330,20240401
7000000005,1000000005,CASH,PAID,29040.0,2024-03-13 14:54:35,TX-RNWJHS1F8G0Y,614,2,2.0,2024-03-12 20:54:35,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0,2,2,20240312,20240313
7000000006,1000000006,CARD,REFUNDED,18442.5,2025-07-17 12:55:56,TX-X2AJGZ36N3FR,188,1,,2025-07-15 22:55:56,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5,2148,2,20250715,20250717
7000000007,1000000007,CARD,PAID,17535.0,2024-11-14 13:15:00,TX-ZRHVYPGQTDRK,17,1,,2024-11-11 20:15:00,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,3577,1,20241111,20241114
7000000008,1000000008,CARD,PAID,109011.0,2024-08-25 23:29:28,TX-CHL80ZD8IP5O,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,1490,1,20240825,20240825
7000000009,1000000009,GATEWAY,PAID,16718.25,2024-03-31 18:34:46,TX-J2VP8C6ROCZQ,1037,1,,2024-03-30 10:34:46,1097.0,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25,1974,3,20240330,20240331
7000000010,1000000010,TRANSFER,REFUNDED,17787.0,2024-03-14 03:19:39,TX-1UN1COQAVK65,1336,2,1.0,2024-03-13 02:19:39,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0,1,1,20240313,20240314
7000000011,1000000011,CASH,PAID,41309.4,2025-06-17 07:46:29,TX-U5CXUHGK42O6,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,4,4,20250617,20250617
7000000012,1000000012,CARD,PAID,42688.8,2024-08-12 06:38:29,TX-GS664FN80M9E,1426,2,3.0,2024-08-09 14:38:29,3389.0,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8,3,3,20240809,20240812
7000000013,1000000013,CASH,PAID,123283.88,2025-03-23 14:26:14,TX-BZOPSO6JPRZD,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,1,1,20250323,20250323
7000000014,1000000014,CARD,PAID,15129.6,2025-08-20 03:46:12,TX-AD0J2NGELHNC,181,1,,2025-08-18 12:46:12,2238.0,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6,3917,1,20250818,20250820
7000000015,1000000015,CARD,FAILED,29659.2,,,700,1,,2024-09-15 12:43:40,3268.0,1803,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2,1803,1,20240915,
7000000016,1000000016,GATEWAY,PAID,28642.8,2025-08-29 20:46:32,TX-Y2BIADVO9F18,475,1,,2025-08-27 22:46:32,1585.0,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8,3558,1,20250827,20250829
7000000017,1000000017,CARD,PAID,80912.7,2025-02-20 01:36:04,TX-O7MTCOYJ61AJ,753,2,2.0,2025-02-19 14:36:04,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7,2,2,20250219,20250220
7000000018,1000000018,GATEWAY,FAILED,100107.9,,,1151,1,,2024-07-14 15:20:18,2712.0,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9,2691,1,20240714,
7000000019,1000000019,CARD,PAID,46023.24,2025-04-23 12:12:18,TX-EMS8E80975XQ,793,1,,2025-04-21 04:12:18,2523.0,3612,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24,3612,1,20250421,20250423
7000000020,1000000020,CARD,PAID,59895.0,2024-05-06 15:36:24,TX-EZKXQ80I4527,866,1,,2024-05-06 01:36:24,3933.0,3374,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0,3374,1,20240506,20240506
7000000021,1000000021,CARD,PAID,29659.2,2025-09-25 01:05:51,TX-BE5NW8R3MU50,1110,1,,2025-09-23 22:05:51,3246.0,2545,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2,2545,1,20250923,20250925
7000000022,1000000022,TRANSFER,REFUNDED,29040.0,2024-04-02 19:16:34,TX-I1Q2G15R83Y7,854,2,1.0,2024-03-31 02:16:34,2462.0,1,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0,1,1,20240331,20240402
7000000023,1000000023,CASH,PAID,82764.0,2025-07-08 19:42:57,TX-3TFFR8COO0FP,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,3,3,20250705,20250708
7000000024,1000000024,CARD,PAID,14229.6,2025-03-03 09:57:05,TX-91AAY0A1V9Q3,441,2,2.0,2025-03-02 15:57:05,1528.0,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6,2,2,20250302,20250303
7000000025,1000000025,CARD,PAID,86005.88,2025-08-27 17:57:45,TX-SVYYRKPOYWM4,125,1,,2025-08-26 06:57:45,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88,1512,2,20250826,20250827
7000000026,1000000026,CARD,PAID,17535.0,2024-12-15 07:59:48,TX-9O9IH4O8JG78,1201,1,,2024-12-12 23:59:48,4164.0,1297,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,1297,1,20241212,20241215
7000000027,1000000027,CARD,PAID,28488.0,2024-12-02 05:44:59,TX-C245O7O7GRI9,1055,1,,2024-12-02 01:44:59,3321.0,2858,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0,2858,1,20241202,20241202
7000000028,1000000028,CARD,PAID,14520.0,2024-05-18 09:11:07,TX-J6HQJG5HEW5S,382,1,,2024-05-17 06:11:07,1338.0,2419,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0,2419,1,20240517,20240518
7000000029,1000000029,CARD,PAID,79235.4,2025-09-14 21:43:49,TX-DRZ2QYPBHF3H,1456,1,,2025-09-14 02:43:49,1410.0,2421,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4,2421,2,20250914,20250914
7000000030,1000000030,CARD,PAID,41382.0,2025-06-11 19:02:55,TX-13PMNCYBLOP6,1377,2,4.0,2025-06-09 19:02:55,3581.0,4,PAID,ARS,34200.0,7182.0,0.0,41382.0,4,4,20250609,20250611
7000000031,1000000031,CASH,PAID,28459.2,2025-05-13 08:15:07,TX-PFV0D0IML4NF,1375,2,4.0,2025-05-10 11:15:07,1924.0,4,PAID,ARS,23520.0,4939.2,0.0,28459.2,4,4,20250510,20250513
7000000032,1000000032,CARD,PAID,33870.0,2025-03-16 16:37:22,TX-UM2KN2XHQSHB,821,1,,2025-03-15 14:37:22,3181.0,1920,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0,1920,1,20250315,20250316
7000000033,1000000033,CASH,PAID,17787.0,2024-06-08 12:23:04,TX-PO2UBATPZ00H,1475,2,4.0,2024-06-08 03:23:04,3312.0,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0,4,4,20240608,20240608
7000000034,1000000034,CASH,PAID,103318.88,2024-11-19 15:24:31,TX-922WAHDO61XN,634,2,2.0,2024-11-17 01:24:31,2156.0,2,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88,2,2,20241117,20241119
7000000035,1000000035,CARD,PAID,26136.0,2024-01-13 09:54:27,TX-Y8T15028LSUX,585,2,1.0,2024-01-12 05:54:27,3436.0,1,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0,1,1,20240112,20240113
7000000036,1000000036,CARD,PAID,61158.0,2024-09-26 11:59:17,TX-WSO0CISUVYK2,180,1,,2024-09-24 18:59:17,4138.0,2859,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0,2859,2,20240924,20240926
7000000037,1000000037,CARD,PAID,31082.16,2024-01-27 15:07:55,TX-VCRJJP6E0CCG,482,1,,2024-01-26 00:07:55,2544.0,3321,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16,3321,1,20240126,20240127
7000000038,1000000038,CARD,PAID,14229.6,2024-02-02 23:29:21,TX-DIL01AV2R2A9,620,2,1.0,2024-02-02 22:29:21,1303.0,1,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6,1,1,20240202,20240202
7000000039,1000000039,CARD,PAID,71583.6,2024-05-23 19:42:33,TX-GO2N5MUY0V3U,603,2,1.0,2024-05-23 04:42:33,4130.0,1,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6,1,1,20240523,20240523
7000000040,1000000040,CARD,FAILED,14994.0,,,1028,1,,2024-03-04 06:58:13,3284.0,2145,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0,2145,1,20240304,
7000000041,1000000041,CASH,PAID,29657.1,2024-01-15 03:59:03,TX-B543BB9H5C7R,1005,2,3.0,2024-01-14 09:59:03,,3,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1,3,3,20240114,20240115
7000000042,1000000042,GATEWAY,PAID,13914.6,2024-09-28 02:17:36,TX-X79V37PRDDTB,790,1,,2024-09-27 21:17:36,1738.0,1029,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6,1029,1,20240927,20240928
7000000043,1000000043,CARD,PAID,48816.0,2024-05-22 23:46:11,TX-3MPXSV4DAUND,665,1,,2024-05-21 10:46:11,3226.0,3039,PAID,ARS,39600.0,8316.0,900.0,48816.0,3039,1,20240521,20240522
7000000044,1000000044,GATEWAY,PAID,90435.0,2025-09-05 11:32:15,TX-4JUJUM3AY4L6,562,1,,2025-09-02 12:32:15,,2131,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0,2131,2,20250902,20250905
7000000045,1000000045,GATEWAY,PAID,44460.0,2024-02-03 22:14:28,TX-6G4YWKOODVMB,998,1,,2024-02-01 13:14:28,3026.0,2980,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0,2980,1,20240201,20240203
7000000046,1000000046,CARD,PAID,39930.0,2024-01-15 01:01:18,TX-OAGVE3OT79YR,276,1,,2024-01-12 03:01:18,,1489,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0,1489,4,20240112,20240115
7000000047,1000000047,CASH,PAID,13068.0,2024-03-08 13:53:37,TX-AL44LOCGN4MF,1469,2,2.0,2024-03-08 08:53:37,,2,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0,2,2,20240308,20240308
7000000048,1000000048,CARD,PENDING,28459.2,,,408,2,2.0,2024-09-13 16:10:57,3365.0,2,CREATED,ARS,23520.0,4939.2,0.0,28459.2,2,2,20240913,
7000000049,1000000049,TRANSFER,PAID,49005.0,2024-08-13 06:35:54,TX-66ID36XC53T2,1360,2,2.0,2024-08-11 19:35:54,1174.0,2,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0,2,2,20240811,20240813
7000000050,1000000050,GATEWAY,PAID,35685.0,2024-07-25 13:25:00,TX-7PTIHWUY0CDA,1423,1,,2024-07-25 00:25:00,2103.0,1661,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0,1661,4,20240725,20240725
