order_id,date_id,order_date,customer_id,channel_id,province_id,name,tax_amount,shipping_fee,total_amount
1000000000,20241126,2024-11-26 07:50:47,356,1,1,Buenos Aires,10836.0,1200.0,63636.0
1000000001,20240131,2024-01-31 01:00:04,601,1,1,Buenos Aires,13406.4,900.0,78146.4
1000000002,20250226,2025-02-26 19:39:44,1234,1,1,Buenos Aires,5304.6,1500.0,32064.6
1000000003,20250301,2025-03-01 17:35:36,156,1,1,Buenos Aires,5355.0,0.0,30855.0
1000000004,20240330,2024-03-30 02:46:36,616,2,4,Mendoza,9276.75,0.0,53451.75
1000000005,20240312,2024-03-12 20:54:35,614,2,2,Córdoba,5040.0,0.0,29040.0
1000000006,20250715,2025-07-15 22:55:56,188,1,2,Córdoba,2992.5,1200.0,18442.5
1000000007,20241111,2024-11-11 20:15:00,17,1,1,Buenos Aires,2835.0,1200.0,17535.0
1000000008,20240825,2024-08-25 03:29:28,1148,1,1,Buenos Aires,18711.0,1200.0,109011.0
1000000009,20240330,2024-03-30 10:34:46,1037,1,3,Santa Fe,2693.25,1200.0,16718.25
1000000010,20240313,2024-03-13 02:19:39,1336,2,1,Buenos Aires,3087.0,0.0,17787.0
1000000011,20250617,2025-06-17 03:46:29,1239,2,4,Mendoza,7169.4,0.0,41309.4
1000000012,20240809,2024-08-09 14:38:29,1426,2,3,Santa Fe,7408.8,0.0,42688.8
1000000013,20250323,2025-03-23 11:26:14,862,2,1,Buenos Aires,21396.38,0.0,123283.88
1000000014,20250818,2025-08-18 12:46:12,181,1,1,Buenos Aires,2469.6,900.0,15129.6
1000000015,20240915,2024-09-15 12:43:40,700,1,1,Buenos Aires,4939.2,1200.0,29659.2
1000000016,20250827,2025-08-27 22:46:32,475,1,1,Buenos Aires,4762.8,1200.0,28642.8
1000000017,20250219,2025-02-19 14:36:04,753,2,2,Córdoba,14042.7,0.0,80912.7
1000000018,20240714,2024-07-14 15:20:18,1151,1,1,Buenos Aires,17217.9,900.0,100107.9
1000000019,20250421,2025-04-21 04:12:18,793,1,1,Buenos Aires,7779.24,1200.0,46023.24
1000000020,20240506,2024-05-06 01:36:24,866,1,1,Buenos Aires,10395.0,0.0,59895.0
1000000021,20250923,2025-09-23 22:05:51,1110,1,1,Buenos Aires,4939.2,1200.0,29659.2
1000000022,20240331,2024-03-31 02:16:34,854,2,1,Buenos Aires,5040.0,0.0,29040.0
1000000023,20250705,2025-07-05 19:42:57,379,2,3,Santa Fe,14364.0,0.0,82764.0
1000000024,20250302,2025-03-02 15:57:05,441,2,2,Córdoba,2469.6,0.0,14229.6
1000000025,20250826,2025-08-26 06:57:45,125,1,2,Córdoba,14718.38,1200.0,86005.88
1000000026,20241212,2024-12-12 23:59:48,1201,1,1,Buenos Aires,2835.0,1200.0,17535.0
1000000027,20241202,2024-12-02 01:44:59,1055,1,1,Buenos Aires,4788.0,900.0,28488.0
1000000028,20240517,2024-05-17 06:11:07,382,1,1,Buenos Aires,2520.0,0.0,14520.0
1000000029,20250914,2025-09-14 02:43:49,1456,1,2,Córdoba,13595.4,900.0,79235.4
1000000030,20250609,2025-06-09 19:02:55,1377,2,4,Mendoza,7182.0,0.0,41382.0
1000000031,20250510,2025-05-10 11:15:07,1375,2,4,Mendoza,4939.2,0.0,28459.2
1000000032,20250315,2025-03-15 14:37:22,821,1,1,Buenos Aires,5670.0,1200.0,33870.0
1000000033,20240608,2024-06-08 03:23:04,1475,2,4,Mendoza,3087.0,0.0,17787.0
1000000034,20241117,2024-11-17 01:24:31,634,2,2,Córdoba,17931.38,0.0,103318.88
1000000035,20240112,2024-01-12 05:54:27,585,2,1,Buenos Aires,4536.0,0.0,26136.0
1000000036,20240924,2024-09-24 18:59:17,180,1,2,Córdoba,10458.0,900.0,61158.0
1000000037,20240126,2024-01-26 00:07:55,482,1,1,Buenos Aires,5186.16,1200.0,31082.16
1000000038,20240202,2024-02-02 22:29:21,620,2,1,Buenos Aires,2469.6,0.0,14229.6
1000000039,20240523,2024-05-23 04:42:33,603,2,1,Buenos Aires,12423.6,0.0,71583.6
1000000040,20240304,2024-03-04 06:58:13,1028,1,1,Buenos Aires,2394.0,1200.0,14994.0
1000000041,20240114,2024-01-14 09:59:03,1005,2,3,Santa Fe,5147.1,0.0,29657.1
1000000042,20240927,2024-09-27 21:17:36,790,1,1,Buenos Aires,2154.6,1500.0,13914.6
1000000043,20240521,2024-05-21 10:46:11,665,1,1,Buenos Aires,8316.0,900.0,48816.0
