shipment_id,order_id,carrier,tracking_number,status,shipped_at,delivered_at,customer_id,channel_id,store_id,order_date,billing_address_id,shipping_address_id,status_order,currency_code,subtotal,tax_amount,shipping_fee,total_amount,address_id,province_id,date_id,shipped_at_id,delivered_at_id
9000000000,1000000000,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,2024-11-27 07:50:47,2024-11-30 07:50:47,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,1595,1,20241126,20241127,20241130
9000000001,1000000001,Correo Argentino,TRK-S7JYRIGG48,READY,2024-02-01 01:00:04,2024-02-05 01:00:04,601,1,,2024-01-31 01:00:04,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,3534,1,20240131,20240201,20240205
9000000002,1000000002,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,2025-02-27 19:39:44,2025-03-01 19:39:44,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,4063,1,20250226,20250227,20250301
9000000003,1000000003,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,2025-03-02 17:35:36,2025-03-06 17:35:36,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,1507,1,20250301,20250302,20250306
9000000004,1000000004,PICKUP,,DELIVERED,2024-03-30 02:46:36,2024-03-31 02:46:36,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,4,4,20240330,20240330,20240331
9000000005,1000000005,PICKUP,,DELIVERED,2024-03-12 20:54:35,2024-03-13 20:54:35,614,2,2.0,2024-03-12 20:54:35,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0,2,2,20240312,20240312,20240313
9000000006,1000000006,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,2025-07-16 22:55:56,2025-07-20 22:55:56,188,1,,2025-07-15 22:55:56,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5,2148,2,20250715,20250716,20250720
9000000007,1000000007,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,2024-11-12 20:15:00,2024-11-15 20:15:00,17,1,,2024-11-11 20:15:00,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,3577,1,20241111,20241112,20241115
9000000008,1000000008,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,2024-08-26 03:29:28,2024-08-28 03:29:28,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,1490,1,20240825,20240826,20240828
9000000009,1000000009,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,2024-03-31 10:34:46,2024-04-03 10:34:46,1037,1,,2024-03-30 10:34:46,1097.0,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25,1974,3,20240330,20240331,20240403
9000000010,1000000010,PICKUP,,DELIVERED,2024-03-13 02:19:39,2024-03-14 02:19:39,1336,2,1.0,2024-03-13 02:19:39,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0,1,1,20240313,20240313,20240314
9000000011,1000000011,PICKUP,,DELIVERED,2025-06-17 03:46:29,2025-06-18 03:46:29,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,4,4,20250617,20250617,20250618
9000000012,1000000012,PICKUP,,DELIVERED,2024-08-09 14:38:29,2024-08-10 14:38:29,1426,2,3.0,2024-08-09 14:38:29,3389.0,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8,3,3,20240809,20240809,20240810
9000000013,1000000013,PICKUP,,SHIPPED,2025-03-23 11:26:14,2025-03-24 11:26:14,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,1,1,20250323,20250323,20250324
9000000014,1000000014,Correo Argentino,TRK-TEL745CSF0,SHIPPED,2025-08-19 12:46:12,2025-08-24 12:46:12,181,1,,2025-08-18 12:46:12,2238.0,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6,3917,1,20250818,20250819,20250824
9000000015,1000000015,Correo Argentino,,CANCELLED,,,700,1,,2024-09-15 12:43:40,3268.0,1803,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2,1803,1,20240915,,
9000000016,1000000016,Correo Argentino,TRK-2QJED48Q5H,DELIVERED,2025-08-28 22:46:32,2025-09-02 22:46:32,475,1,,2025-08-27 22:46:32,1585.0,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8,3558,1,20250827,20250828,20250902
